Week_Number,Product_ID,Store_ID,Units_Sold,Marketing_Spend,Discount_Percent,Wastage_Units,Price
2024-W01,1000,500,4853,670.37,0,718,2.46
2024-W01,1001,500,4274,1089.62,0,641,1.27
2024-W01,1002,500,4215,1004.99,10,632,2.74
2024-W01,1003,500,5768,859.45,20,853,1.82
2024-W01,1004,500,3403,576.7,0,503,3.46
2024-W01,1005,500,3757,937.48,0,556,3.72
2024-W01,1006,500,5562,546.51,0,834,2.27
2024-W01,1007,500,2957,984.57,0,413,1.71
2024-W01,1008,500,5925,641.34,0,876,2.82
2024-W01,1009,500,7494,853.4,0,1124,1.41
2024-W01,1010,500,6196,970.52,15,867,1.18
2024-W01,1011,500,5791,774.62,0,868,2.79
2024-W01,1012,500,1986,347.03,0,208,3.61
2024-W01,1013,500,1165,243.87,0,99,5.08
2024-W01,1014,500,1430,243.44,0,150,9.58
2024-W01,1015,500,2308,526.6,10,207,8.81
2024-W01,1016,500,2232,323.63,0,200,10.16
2024-W01,1017,500,1034,480.22,0,93,9.92
2024-W01,1018,500,2528,739.06,0,240,4.15
2024-W01,1019,500,2246,354.59,0,213,6.08
2024-W01,1020,500,1975,616.23,0,167,7.02
2024-W01,1021,500,2199,447.01,0,219,6.52
2024-W01,1022,500,1595,608.19,0,167,10.81
2024-W01,1023,500,2088,802.68,0,208,4.38
2024-W01,1024,500,5281,339.98,0,211,2.12
2024-W01,1025,500,7336,183.79,10,498,2.23
2024-W01,1026,500,6201,388.28,0,248,4.86
2024-W01,1027,500,3938,487.45,0,157,1.71
2024-W01,1028,500,6045,691.54,0,241,1.69
2024-W01,1029,500,5256,285.67,10,210,1.26
2024-W01,1030,500,6891,278.25,0,413,1.76
2024-W01,1031,500,3766,398.13,0,165,1.35
2024-W01,1032,500,2903,680.45,0,197,1.54
2024-W01,1033,500,2974,287.25,0,154,1.89
2024-W01,1034,500,3902,211.08,5,234,3.27
2024-W01,1035,500,4658,264.6,10,186,3.91
2024-W01,1036,500,2074,1605.11,0,51,3.46
2024-W01,1037,500,1477,437.46,0,36,7.57
2024-W01,1038,500,2022,1574.88,0,50,5.28
2024-W01,1039,500,1377,937.55,0,34,6.03
2024-W01,1040,500,1607,953.51,5,40,6.19
2024-W01,1041,500,1570,520.84,0,39,6.31
2024-W01,1042,500,2571,502.8,0,64,1.02
2024-W01,1043,500,3254,524.38,0,81,5.18
2024-W01,1044,500,2246,1343.86,0,56,7.7
2024-W01,1045,500,2042,1084.62,0,51,4.15
2024-W01,1046,500,2424,817.85,0,60,7.46
2024-W01,1047,500,3762,1571.07,5,94,2.19
2024-W01,1000,501,1911,1280.28,0,282,3.76
2024-W01,1001,501,2435,1927.49,10,365,2.67
2024-W01,1002,501,2532,658.13,0,379,3.18
2024-W01,1003,501,2059,910.83,0,304,3.27
2024-W01,1004,501,3381,580.71,0,500,2.91
2024-W01,1005,501,1882,752.91,0,278,3.64
2024-W01,1006,501,2418,580.39,0,362,3.2
2024-W01,1007,501,2538,1057.13,0,355,3.54
2024-W01,1008,501,3273,1812.31,0,484,1.45
2024-W01,1009,501,3986,831.83,0,597,3.66
2024-W01,1010,501,2110,1047.99,10,295,1.35
2024-W01,1011,501,1989,1176.41,10,298,2.8
2024-W01,1012,501,1507,740.61,10,158,3.32
2024-W01,1013,501,958,319.56,15,81,5.41
2024-W01,1014,501,1482,562.48,0,155,11.99
2024-W01,1015,501,885,726.13,0,79,9.17
2024-W01,1016,501,952,164.4,0,85,6.26
2024-W01,1017,501,1337,274.89,0,120,11.37
2024-W01,1018,501,655,470.87,0,62,4.67
2024-W01,1019,501,707,503.44,0,67,11.14
2024-W01,1020,501,779,729.83,0,66,4.22
2024-W01,1021,501,995,417.82,0,99,3.33
2024-W01,1022,501,1154,237.73,0,121,7.05
2024-W01,1023,501,619,442.01,0,61,8.06
2024-W01,1024,501,2649,653.19,0,105,3.59
2024-W01,1025,501,2585,647.89,0,175,3.42
2024-W01,1026,501,2489,656.72,0,99,2.1
2024-W01,1027,501,1975,543.01,0,79,1.85
2024-W01,1028,501,3182,559.18,0,127,3.08
2024-W01,1029,501,2376,769.99,0,95,1.5
2024-W01,1030,501,2417,669.91,10,145,2.78
2024-W01,1031,501,2247,660.39,10,98,1.7
2024-W01,1032,501,2037,791.09,0,138,1.48
2024-W01,1033,501,2301,759.96,0,119,1.07
2024-W01,1034,501,2256,248.5,0,135,2.7
2024-W01,1035,501,1995,583.33,0,79,2.01
2024-W01,1036,501,1165,964.22,0,29,7.23
2024-W01,1037,501,1270,856.96,10,31,6.51
2024-W01,1038,501,1410,595.79,0,35,3.8
2024-W01,1039,501,1159,983.37,15,28,3.52
2024-W01,1040,501,1380,1146.16,0,34,0.59
2024-W01,1041,501,1035,913.83,0,25,7.8
2024-W01,1042,501,1324,883.49,0,33,4.03
2024-W01,1043,501,969,424.99,0,24,4.44
2024-W01,1044,501,1441,1396.73,0,36,3.11
2024-W01,1045,501,1722,539.54,0,43,6.55
2024-W01,1046,501,747,647.19,0,18,0.53
2024-W01,1047,501,1426,656.26,0,35,5.71
2024-W01,1000,502,3080,1509.55,0,455,3.81
2024-W01,1001,502,1647,815.43,5,247,3.44
2024-W01,1002,502,1764,512.23,0,264,2.14
